Go.	Va !
I need subtitles.	J'ai besoin de sous-titres.
I need the money.	J'ai besoin de l'argent.
I need to travel.	Il faut que je voyage.
I need to travel.	J'ai besoin de voyager.
I need your help.	J'ai besoin que tu m'aides.
I need your help.	J'ai besoin de ton aide.
I never did that.	Je ne l'ai jamais fait.
I never did that.	Je n'ai jamais fait ça.
I never sleep in.	Je ne fais jamais la grasse matinée.
I never sleep in.	Je ne dors jamais sur mon lieu de travail.
I never told Tom.	Je ne l’ai jamais dit à Tom.
I opened one eye.	J'ouvris un œil.
I opened one eye.	J'ai ouvert un œil.
I owe him a debt.	J'ai une dette envers lui.
I owe him a debt.	J'ai une dette à son égard.
I owe you a beer.	Je te dois une bière.
I owe you a beer.	Je vous dois une bière.
I own a computer.	Je possède un ordinateur.
I own this place.	Je possède cet endroit.
I own this store.	Je possède ce magasin.
I paid attention.	J'ai fait attention.
I paid attention.	J'ai prêté attention.
I paid the check.	J'ai payé l'addition.
I party too much.	Je fais trop la fête.
I party too much.	Je fais trop la nouba.
I pay my own way.	Je peux me gérer seul.
I pay my own way.	Je paie mes propres dettes.
I planted a tree.	J'ai planté un arbre.
I play the piano.	Je joue du piano.
I pointed at him.	Je l'ai désigné.
I prefer reading.	Je préfère lire.
I prefer to read.	Je préfère lire.
I prefer to walk.	Je préfère marcher.
I prefer walking.	Je préfère marcher.
I ran downstairs.	Je me précipitai au bas des escaliers.
I ran downstairs.	Je me suis précipité en bas.
I ran downstairs.	Je me suis précipitée en bas.
I ran out of gas.	Je tombai en panne d'essence.
I ran out of gas.	Je suis tombé en panne d'essence.
I ran out of gas.	Je suis tombée en panne d'essence.
I really am busy.	Je suis vraiment occupé.
I really am busy.	Je suis vraiment occupée.
I really hope so.	Je l’espère vraiment.
I really hope so.	Je l’espère de tout mon cœur.
I really hurried.	Je me suis vraiment dépêché.
I really hurried.	Je me suis vraiment dépêchée.
I really mean it.	Je suis sérieux.
I really mean it.	Je suis sérieuse.
I really need it.	J'en ai vraiment besoin.
I recommend this.	Je recommande ceci.
I refused to pay.	Je refusai de payer.
I refused to pay.	J'ai refusé de payer.
I refused to pay.	Je me refusai à payer.
I refused to pay.	Je me suis refusé à payer.
I regret nothing.	Je ne regrette rien.
I require advice.	Je requiers des conseils.
I rubbed my feet.	Je me suis frotté les pieds.
I run this place.	Je fais marcher cet endroit.
I said stay back.	J'ai dit de rester en arrière.
I sat beside her.	Je m'assis à côté d'elle.
I saw everything.	J'ai tout vu.
I saw him go out.	Je l'ai vu sortir.
I see your house.	Je vois votre maison.
I see your house.	Je vois ta maison.
I see your point.	Je vois ce que tu veux dire.
I see your point.	Je vois ce que vous voulez dire.
I seldom see him.	Je le vois rarement.
I sell computers.	Je vends des ordinateurs.
I sell umbrellas.	Je vends des parapluies.
I started crying.	Je me suis mis à pleurer.
I started crying.	Je me suis mise à pleurer.
I started to cry.	J'ai commencé à pleurer.
I still like Tom.	J'aime toujours Tom.
I still love you.	Je t'aime encore.
I still love you.	Je vous aime encore.
I still love you.	Je t'aime toujours.
I still love you.	Je vous aime toujours.
I strongly agree.	Je suis tout à fait d'accord.
I swim every day.	Je nage tous les jours.
I talk to myself.	Je parle tout seul.
I talk to myself.	Je me parle.
I talk to myself.	Je parle à moi-même.
I think Tom died.	Je pense que Tom est mort.
I think Tom left.	Je pense que Tom est parti.
I think it's Tom.	Je pense que c'est Tom.
I totally forgot.	J'ai complètement oublié.
I truly hope not.	Je ne l'espère vraiment pas.
I understand why.	Je comprends pourquoi.
I understand you.	Je te comprends.
I understand you.	Je vous comprends.
I used to be fat.	J'ai été gros.
I visited Boston.	J'ai visité Boston.
I waited a month.	J'ai attendu un mois.
I waited a while.	J'attendis un moment.
I waited a while.	J'ai attendu un moment.
I walk every day.	Je marche tous les jours.
I walk to school.	Je vais à l'école en marchant.
I want a blanket.	Je veux une couverture.
I want a divorce.	Je veux divorcer.
I want a martini.	Je veux un martini.
I want a pen pal.	Je veux un correspondant.
I want a rematch.	Je veux une revanche.
I want a scooter.	Je veux une trottinette.
I want much more.	Je veux beaucoup plus.
I want some milk.	Je veux du lait.
I want that book.	Je veux ce livre.
I want the facts.	Je veux les faits.
I want to retire.	Je veux prendre ma retraite.
I want to retire.	Je veux partir à la retraite.
I want to retire.	Je veux prendre ma pension.
I want to see it.	Je veux le voir.
I want to see it.	Je veux voir ça.
I want to try it.	Je veux essayer.
I want to try it.	Je veux le tenter.
I want us to win.	Je veux que nous gagnions.
I want vengeance.	Je veux ma vengeance.
I want you to go.	Je veux que vous partiez.
I want your love.	Je veux ton amour.
I want your love.	Je veux ton affection.
I want your love.	Je veux votre amour.
I want your love.	Je veux votre affection.
I wanted to come.	Je voulais venir.
I was astonished.	Je fus étonné.
I was astonished.	J'ai été étonné.
I was born there.	Je suis né là.
I was born there.	Je suis née là.
I was devastated.	J'étais anéanti.
I was devastated.	J'étais anéantie.
I was distracted.	J'ai été distrait.
I was distracted.	J'ai été distraite.
I was dumbstruck.	J'étais sidéré.
I was frightened.	J'étais apeurée.
I was frustrated.	J'étais agacé.
I was frustrated.	J'étais agacée.
I was happy then.	J'étais heureux, alors.
I was happy then.	J'étais heureuse, alors.
I was here first.	J'étais là en premier.
I was here first.	J'étais là le premier.
I was humiliated.	On m'a humilié.
I was humiliated.	On m'a humiliée.
I was humiliated.	J'ai été humilié.
I was humiliated.	J'ai été humiliée.
I was in all day.	Je suis resté à l'intérieur toute la journée.
I was in all day.	Je suis restée à l'intérieur toute la journée.
I was in all day.	Je suis resté cloîtré toute la journée.
I was in all day.	Je suis restée cloîtrée toute la journée.
I was quite calm.	J'étais plutôt calme.
I was speechless.	Je fus à court de mots.
I was speechless.	J’étais sans voix.
I was speechless.	Je suis resté sans voix.
I was sure of it.	J'en étais sûr.
I was sure of it.	J'en étais sûre.
I was threatened.	On m'a menacé.
I was threatened.	On m'a menacée.
I was threatened.	J'ai été menacé.
I was threatened.	J'ai été menacée.
I was unprepared.	Je n'étais pas préparé.
I was unprepared.	Je n'étais pas préparée.
I was very tired.	J'étais très fatigué.
I was very tired.	J'étais très fatiguée.
I was very tired.	J'étais fourbu.
I was very tired.	J'étais fourbue.
I washed my feet.	Je me suis lavé les pieds.
I wasn't invited.	Je n'ai pas été invité.
I wasn't invited.	Je n'ai pas été invitée.
I wasn't kidding.	Je n'étais pas en train de blaguer.
I wasn't serious.	Je n'étais pas sérieux.
I wasn't serious.	Je n'étais pas sérieuse.
I waved him back.	Je lui fis signe de la main en retour.
I went to school.	Je suis allé à l'école.
I went to school.	Je suis allée à l'école.
I went to school.	J'ai fréquenté l'école.
I went to school.	Je me suis rendu à l'école.
I went to school.	Je me suis rendue à l'école.
I will shoot him.	Je vais le buter.
I will shoot him.	Je vais le descendre.
I will shoot him.	Je vais le flinguer.
I will teach you.	Je te l'enseignerai.
I will translate.	Je traduirai.
I will try again.	J'essaierai à nouveau.
I wish them luck.	Je leur souhaite bonne chance.
I won't be quiet.	Je ne serai pas tranquille.
I won't be quiet.	Je ne me tiendrai pas tranquille.
I won't need you.	Je n'aurai pas besoin de vous.
I won't tell Tom.	Je ne le dirai pas à Tom.
I work in a bank.	Je travaille dans une banque.
I work on Sunday.	Je travaille le dimanche.
I work on a farm.	Je travaille dans une ferme.
I worry too much.	Je me fais trop de souci.
I worry too much.	Je m'inquiète de trop.
I would complain.	Je voudrais porter plainte.
I wrote the note.	J'ai écrit la note.
I wrote the note.	J'écrivis la note.
I'd be delighted.	Je serais ravi.
I'd be delighted.	J'en serais ravi.
I'd be delighted.	J'en serais ravie.
I'd be delighted.	Je serais ravie.
I'd like a raise.	J'aimerais une augmentation.
I'll be at Tom's.	Je serai chez Tom.
I'll be discreet.	Je serai discret.
I'll be discreet.	Je serai discrète.
I'll be in touch.	Je resterai en contact.
I'll beat you up!	Je vais te cogner !
I'll bring lunch.	J'apporterai à déjeuner.
I'll bring lunch.	J'apporterai à dîner.
I'll check again.	Je revérifierai.
I'll clean it up.	Je vais le nettoyer.
I'll demonstrate.	Je le démontrerai.
I'll demonstrate.	Je manifesterai.
I'll do anything.	Je ferai n'importe quoi.
I'll fix a drink.	Je vais préparer une boisson.
I'll fix a drink.	Je vais préparer un verre.
I'll forgive you.	Je te pardonnerai.
I'll forgive you.	Je vous pardonnerai.
I'll get my coat.	Je vais chercher mon manteau.
I'll get my keys.	Je vais prendre mes clés.
I'll get the car.	Je vais chercher la voiture.
I'll go by plane.	J'irai en avion.
I'll go shopping.	J'irai faire des courses.
I'll go this way.	Je vais aller par là.
I'll go with you.	J'irai avec toi.
I'll go with you.	Je vais y aller avec toi.
I'll go with you.	Je vais y aller avec vous.
I'll go with you.	J'irai avec vous.
I'll handle this.	Je m'en chargerai.
I'll handle this.	Je m'en débrouillerai.
I'll handle this.	Je m'en occuperai.
I'll have dinner.	Je déjeunerai.
I'll ignore that.	Je vais ignorer ça.
I'll never learn.	Je n'apprendrai jamais.
I'll never leave.	Je ne partirai jamais.
I'll pack my bag.	Je ferai mon sac.
I'll protect Tom.	Je vais protéger Tom.
I'll protect you.	Je vous protègerai.
I'll protect you.	Je te protègerai.
I'll say no more.	Je n'en dirai pas plus.
I'll shut up now.	Je me tairai, maintenant.
I'll support him.	Je l'appuierai.
I'll support him.	Je le soutiendrai.
I'll support him.	Je l'épaulerai.
I'll take it all.	Je prendrai le tout.
I'll treasure it.	J'y serai très attaché.
I'll try my luck.	Je vais tenter ma chance.
I'll wash dishes.	Je vais laver les plats.
I'm 18 years old.	J'ai dix-huit ans.
I'm 24 years old.	J'ai 24 ans.
I'm 25 years old.	Je suis âgé de vingt-cinq ans.
I'm Tom's cousin.	Je suis le cousin de Tom.
I'm a bank clerk.	Je suis employé de banque.
I'm a bit hungry.	J'ai un peu faim.
I'm a lonely man.	Je suis un homme solitaire.
I'm a normal guy.	Je suis un gars normal.
I'm a normal guy.	Je suis un type normal.
I'm a shutterbug.	Je suis un fondu de photo.
I'm able to swim.	Je sais nager.
I'm all confused.	Je suis très désorienté.
I'm all confused.	Je suis très désorientée.
I'm all for that.	Je suis tout à fait pour.
I'm already done.	J'ai déjà fini.
I'm already done.	J'ai déjà terminé.
I'm already rich.	Je suis déjà riche.
I'm always happy.	Je suis toujours heureux.
I'm always happy.	Je suis toujours content.
I'm always happy.	Je suis toujours heureuse.
I'm always happy.	Je suis toujours contente.
I'm always moody.	Je suis toujours de mauvaise humeur.
I'm ambidextrous.	Je suis ambidextre.
I'm at the beach.	Je suis à la plage.
I'm between jobs.	Je suis entre deux emplois.
